date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:34:45	21789/21789	---MCZ	404	error ('Not%20Found')	text/html	date:Mon,%2006%20Sep%202021%2009:04:44%20GMT	https://makemyvcard.com/wp-content/themes/bb-theme/fonts/glyphicons-halflings-regular.woff	C:/My%20Web%20Sites/DCMS_MainPage/makemyvcard.com/wp-content/themes/bb-theme/fonts/glyphicons-halflings-regular.woff	(from https://makemyvcard.com/wp-content/themes/bb-theme/css/bootstrap.min.css?ver=1.7.4.1)
14:34:45	21789/21789	---MCZ	404	error ('Not%20Found')	text/html	date:Mon,%2006%20Sep%202021%2009:04:45%20GMT	https://makemyvcard.com/wp-content/themes/bb-theme/fonts/glyphicons-halflings-regular.ttf	C:/My%20Web%20Sites/DCMS_MainPage/makemyvcard.com/wp-content/themes/bb-theme/fonts/glyphicons-halflings-regular.ttf	(from https://makemyvcard.com/wp-content/themes/bb-theme/css/bootstrap.min.css?ver=1.7.4.1)
14:34:46	21789/21789	---MCZ	404	error ('Not%20Found')	text/html	date:Mon,%2006%20Sep%202021%2009:04:46%20GMT	https://makemyvcard.com/wp-content/themes/bb-theme/fonts/glyphicons-halflings-regular.svg	C:/My%20Web%20Sites/DCMS_MainPage/makemyvcard.com/wp-content/themes/bb-theme/fonts/glyphicons-halflings-regular.svg	(from https://makemyvcard.com/wp-content/themes/bb-theme/css/bootstrap.min.css?ver=1.7.4.1)
14:34:47	161/161	---M-Z	301	error ('Moved%20Permanently')	text/html	date:Mon,%2006%20Sep%202021%2009:04:46%20GMT	https://makemyvcard.com/c	C:/My%20Web%20Sites/DCMS_MainPage/makemyvcard.com/c	(from https://connect.facebook.net/en_US/fbevents.js)
14:34:48	161/161	---M-Z	301	error ('Moved%20Permanently')	text/html	date:Mon,%2006%20Sep%202021%2009:04:47%20GMT	https://makemyvcard.com/b	C:/My%20Web%20Sites/DCMS_MainPage/makemyvcard.com/b	(from https://connect.facebook.net/en_US/fbevents.js)
14:34:49	21789/21789	---MCZ	404	error ('Not%20Found')	text/html	date:Mon,%2006%20Sep%202021%2009:04:48%20GMT	https://makemyvcard.com/POST	C:/My%20Web%20Sites/DCMS_MainPage/makemyvcard.com/POST	(from https://connect.facebook.net/en_US/fbevents.js)
14:34:50	161/161	---M-Z	301	error ('Moved%20Permanently')	text/html	date:Mon,%2006%20Sep%202021%2009:04:49%20GMT	https://makemyvcard.com/chrome-extension://	C:/My%20Web%20Sites/DCMS_MainPage/makemyvcard.com/chrome-extension_/index.html	(from https://connect.facebook.net/en_US/sdk/xfbml.customerchat.js)
14:34:51	21789/21789	---MCZ	404	error ('Not%20Found')	text/html	date:Mon,%2006%20Sep%202021%2009:04:50%20GMT	https://makemyvcard.com/restserver.php	C:/My%20Web%20Sites/DCMS_MainPage/makemyvcard.com/restserver.53.delayed	(from https://connect.facebook.net/en_US/sdk/xfbml.customerchat.js)
14:34:51	21789/21789	---MCZ	404	error ('Not%20Found')	text/html	date:Mon,%2006%20Sep%202021%2009:04:50%20GMT	https://makemyvcard.com/^([^:/?	C:/My%20Web%20Sites/DCMS_MainPage/makemyvcard.com/^([^_/indexd41d.html	(from https://connect.facebook.net/en_US/sdk/xfbml.customerchat.js)
14:34:51	21789/21789	---MCZ	404	error ('Not%20Found')	text/html	date:Mon,%2006%20Sep%202021%2009:04:51%20GMT	https://makemyvcard.com/GET	C:/My%20Web%20Sites/DCMS_MainPage/makemyvcard.com/GET	(from https://connect.facebook.net/en_US/sdk/xfbml.customerchat.js)
